e-SUS - Atenção Primária
MINISTÉRIO DA SAÚDE
ESTADO DE SÃO PAULO
MUNICÍPIO DE AMERICANA
UNIDADE DE SAÚDE CAFI CENTRO DE ASSISTENCIA A FAMILIA E AO IDOSO

Relatório de atividade coletiva - Analítico

FILTROS
Período;01/05/2026 a 31/05/2026
Equipe;0002200376 - EQUIPE 9 EAP
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;13/06/2026; às ;00:45;
Gerado em ;13/06/2026; às ;17:56; por ;Rodrigo Alexander Diaz Leon


Resumo de produção
Descrição;Quantidade;
Total de registros;43;

Número de participantes
Descrição;Quantidade;
Participantes identificados;810;
Total de participantes;810;

Turno
Descrição;Quantidade;
Manhã;41;
Tarde;2;
Noite;0;
Não informado;0;

Programa saúde na escola
Descrição;Quantidade;
Educação;0;
Saúde;0;

Atividade
Descrição;Quantidade;
Reunião de equipe;0;
Reunião com outras equipes de saúde;0;
Reunião intersetorial / Conselho local de saúde / Controle social;0;
Educação em saúde;0;
Atendimento em grupo;43;
Avaliação / Procedimento coletivo;0;
Mobilização social;0;
Não informado;0;

Público alvo
Descrição;Quantidade;
Comunidade em geral;5;
Criança 0 a 3 anos;0;
Criança 4 a 5 anos;0;
Criança 6 a 11 anos;0;
Adolescente;1;
Mulher;0;
Gestante;0;
Homem;0;
Familiares;0;
Pessoa idosa;37;
Pessoas com doenças crônicas;37;
Usuário de tabaco;0;
Usuário de álcool;0;
Usuário de outras drogas;0;
Pessoas com sofrimento ou transtorno mental;0;
Profissional de educação;0;
Outros;0;
Não informado;0;

Temas para saúde
Descrição;Quantidade;
Ações de combate ao Aedes aegypti;0;
Agravos e doenças negligenciadas;0;
Alimentação saudável;37;
Autocuidado de pessoas com doenças crônicas;37;
Cidadania e direitos humanos;0;
Prevenção ao uso de álcool, tabaco e outras drogas;0;
Envelhecimento (climatério, andropausa, etc);0;
Plantas medicinais / Fitoterapia;0;
Prevenção da violência e promoção da cultura da paz;0;
Saúde ambiental;0;
Saúde bucal;0;
Saúde do trabalhador;0;
Saúde mental;6;
Saúde sexual e reprodutiva;0;
Semana saúde na escola;0;
Amamentação;0;
Alimentação complementar saudável;0;
Outros;1;
Não informado;0;

Práticas em saúde
Descrição;Quantidade;
Antropometria;0;
Aplicação tópica de flúor;0;
Desenvolvimento da linguagem;0;
Escovação dental supervisionada;0;
Práticas corporais e atividade física;37;
PNCT sessão 1;0;
PNCT sessão 2;0;
PNCT sessão 3;0;
PNCT sessão 4;0;
Saúde auditiva;0;
Saúde ocular;0;
Verificação da situação vacinal;0;
Outras;0;
Outro procedimento coletivo;0;
Não informado;6;

Práticas em saúde - Outros procedimentos coletivos
Descrição;Quantidade;

Temas para reunião
Descrição;Quantidade;
Questões administrativas / Funcionamento;0;
Processo de trabalho;0;
Diagnóstico do território / Monitoramento do território;0;
Planejamento / Monitoramento das ações da equipe;0;
Discussão de caso / Projeto terapêutico singular;0;
Educação permanente;0;
Outros;0;
Não informado;0;
